locus_tag	ftype	length_bp	gene	EC_number	COG	product
HDIIENPN_01535	CDS	858	dprA		COG0758	DNA processing protein DprA
HDIIENPN_01536	CDS	768	rnhB	3.1.26.4	COG0164	Ribonuclease HII
HDIIENPN_01537	CDS	861	rbgA		COG1161	Ribosome biogenesis GTPase A
HDIIENPN_01538	CDS	399				hypothetical protein
HDIIENPN_01539	CDS	543	folT_2			Folate transporter FolT
HDIIENPN_01540	CDS	552	sipV	3.4.21.89	COG0681	Signal peptidase I V
HDIIENPN_01541	CDS	228				hypothetical protein
HDIIENPN_01542	CDS	519	msrA_1	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
HDIIENPN_01543	CDS	714				hypothetical protein
HDIIENPN_01544	CDS	897				hypothetical protein
HDIIENPN_01545	CDS	843			COG1307	DegV domain-containing protein
HDIIENPN_01546	CDS	654				hypothetical protein
HDIIENPN_01547	CDS	528	folA_2	1.5.1.3		Dihydrofolate reductase
HDIIENPN_01548	CDS	948	thyA	2.1.1.45	COG0207	Thymidylate synthase
HDIIENPN_01549	CDS	1887	ettA		COG0488	Energy-dependent translational throttle protein EttA
HDIIENPN_01550	CDS	2079				hypothetical protein
HDIIENPN_01551	CDS	276				hypothetical protein
HDIIENPN_01552	CDS	456				hypothetical protein
HDIIENPN_01553	CDS	1209	cca	2.7.7.72		CCA-adding enzyme
HDIIENPN_01554	CDS	333	ypjD		COG1694	putative protein YpjD
HDIIENPN_01555	CDS	876				hypothetical protein
HDIIENPN_01556	CDS	582				hypothetical protein
HDIIENPN_01557	CDS	1260	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
HDIIENPN_01558	CDS	1047				hypothetical protein
HDIIENPN_01559	CDS	276	hupA		COG0776	DNA-binding protein HU 1
HDIIENPN_01560	CDS	1311	der		COG1160	GTPase Der
HDIIENPN_01561	CDS	1230	ypfD		COG0539	30S ribosomal protein S1 
HDIIENPN_01562	CDS	681	cmk	2.7.4.25	COG0283	Cytidylate kinase
HDIIENPN_01563	CDS	636				hypothetical protein
HDIIENPN_01564	CDS	1404	recQ_2	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
HDIIENPN_01565	CDS	1032				hypothetical protein
HDIIENPN_01566	CDS	222				hypothetical protein
HDIIENPN_01567	CDS	738				hypothetical protein
HDIIENPN_01568	CDS	1341		3.4.13.-		Putative dipeptidase
HDIIENPN_01569	CDS	1524				hypothetical protein
HDIIENPN_01570	CDS	612	fmnP		COG3601	Riboflavin transporter FmnP
HDIIENPN_01571	CDS	717	rluB_1	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
HDIIENPN_01572	CDS	570	scpB			Segregation and condensation protein B
HDIIENPN_01573	CDS	798	scpA		COG1354	Segregation and condensation protein A
HDIIENPN_01574	CDS	372	ribT	2.3.1.-		Protein RibT
HDIIENPN_01575	CDS	888	xerD			Tyrosine recombinase XerD
HDIIENPN_01576	CDS	171				hypothetical protein
HDIIENPN_01577	CDS	468	fur		COG0735	Ferric uptake regulation protein
HDIIENPN_01578	CDS	864	cvfB			Conserved virulence factor B
HDIIENPN_01579	CDS	2103	mapZ			Mid-cell-anchored protein Z
HDIIENPN_01580	CDS	1296				ISL3 family transposase ISEfa11
HDIIENPN_01581	CDS	1110	sigA		COG0568	RNA polymerase sigma factor SigA
HDIIENPN_01582	CDS	1842	dnaG	2.7.7.-	COG0358	DNA primase
HDIIENPN_01583	CDS	2316	ctpE_2	7.2.2.10	COG0474	Calcium-transporting ATPase CtpE
HDIIENPN_01584	CDS	861				hypothetical protein
HDIIENPN_01585	CDS	342				hypothetical protein
HDIIENPN_01586	CDS	720	ydjP	3.-.-.-	COG0596	AB hydrolase superfamily protein YdjP
HDIIENPN_01587	CDS	2592	mprF_1	2.3.2.3		Phosphatidylglycerol lysyltransferase
HDIIENPN_01588	CDS	1188	tuf_1			Elongation factor Tu
HDIIENPN_01589	CDS	357				hypothetical protein
HDIIENPN_01590	CDS	1005				hypothetical protein
HDIIENPN_01591	CDS	852	yvgN	1.1.1.-	COG0656	Glyoxal reductase
HDIIENPN_01592	CDS	246				hypothetical protein
HDIIENPN_01593	CDS	705				hypothetical protein
HDIIENPN_01594	CDS	1263	mvaA	1.1.1.88		3-hydroxy-3-methylglutaryl-coenzyme A reductase
HDIIENPN_01595	CDS	1221	thlA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
HDIIENPN_01596	CDS	1155	mvaS	2.3.3.10	COG3425	Hydroxymethylglutaryl-CoA synthase
HDIIENPN_01597	CDS	753				hypothetical protein
HDIIENPN_01598	CDS	2667		7.2.2.10	COG0474	Calcium-transporting ATPase
HDIIENPN_01599	CDS	1452	clsA_2	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
HDIIENPN_01600	CDS	816	thiD	2.7.1.49		Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
HDIIENPN_01601	CDS	276				hypothetical protein
HDIIENPN_01602	CDS	456	spxA_2		COG1393	Regulatory protein Spx
HDIIENPN_01603	CDS	750				hypothetical protein
HDIIENPN_01604	CDS	327				hypothetical protein
HDIIENPN_01605	CDS	441				Putative universal stress protein
HDIIENPN_01606	CDS	1398	gmuD_2	3.2.1.86	COG2723	6-phospho-beta-glucosidase GmuD
HDIIENPN_01607	CDS	1272	gmuC_1		COG1455	PTS system oligo-beta-mannoside-specific EIIC component
HDIIENPN_01608	CDS	720	gmuR		COG2188	HTH-type transcriptional regulator GmuR
HDIIENPN_01609	CDS	975	mhqA	1.13.11.-	COG0346	Putative ring-cleaving dioxygenase MhqA
HDIIENPN_01610	CDS	606	mhqD	3.1.-.-	COG0400	Putative hydrolase MhqD
HDIIENPN_01611	CDS	753	mtnB	4.2.1.109		Methylthioribulose-1-phosphate dehydratase
HDIIENPN_01612	CDS	261				hypothetical protein
HDIIENPN_01613	CDS	1362	gatC_2		COG3775	PTS system galactitol-specific EIIC component
HDIIENPN_01614	CDS	300				hypothetical protein
HDIIENPN_01615	CDS	459	gatA_2		COG1762	PTS system galactitol-specific EIIA component
HDIIENPN_01616	CDS	792	lacR_1			Lactose phosphotransferase system repressor
HDIIENPN_01617	CDS	954	lacC_2	2.7.1.144	COG1105	Tagatose-6-phosphate kinase
HDIIENPN_01618	CDS	975			COG1073	putative protein
HDIIENPN_01619	CDS	435			COG0789	putative HTH-type transcriptional regulator
HDIIENPN_01620	CDS	1023				hypothetical protein
HDIIENPN_01621	CDS	423	arsC	1.20.4.4	COG0394	Arsenate reductase
HDIIENPN_01622	CDS	1923	manR_1		COG1762	Transcriptional regulator ManR
HDIIENPN_01623	CDS	1941	manP		COG1299	PTS system mannose-specific EIIBCA component
HDIIENPN_01624	CDS	741	dgaF	4.1.2.14		2-dehydro-3-deoxy-phosphogluconate aldolase
HDIIENPN_01625	CDS	1092	dgaE	4.3.1.29		D-glucosaminate-6-phosphate ammonia lyase
HDIIENPN_01626	CDS	1107		3.1.1.-	COG3964	Deacetylase
HDIIENPN_01627	CDS	678				hypothetical protein
HDIIENPN_01628	CDS	780				hypothetical protein
HDIIENPN_01629	CDS	351				hypothetical protein
HDIIENPN_01630	CDS	357				hypothetical protein
HDIIENPN_01631	CDS	1251				IS110 family transposase ISSpn10
HDIIENPN_01632	CDS	333				hypothetical protein
HDIIENPN_01633	CDS	1863				hypothetical protein
HDIIENPN_01634	CDS	954			COG2826	IS30 family transposase IS1252
HDIIENPN_01635	CDS	195				hypothetical protein
HDIIENPN_01636	CDS	300				hypothetical protein
HDIIENPN_01637	CDS	435				hypothetical protein
HDIIENPN_01638	CDS	711	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
HDIIENPN_01639	CDS	861	ulaE	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
HDIIENPN_01640	CDS	639	sgbH	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase SgbH
HDIIENPN_01641	CDS	300				hypothetical protein
HDIIENPN_01642	CDS	1485	ulaA_2		COG3037	Ascorbate-specific PTS system EIIC component
HDIIENPN_01643	CDS	462				hypothetical protein
HDIIENPN_01644	CDS	1068	ulaG	3.1.1.-	COG2220	putative L-ascorbate-6-phosphate lactonase UlaG
HDIIENPN_01645	CDS	771	srlR		COG1349	Glucitol operon repressor
HDIIENPN_01646	CDS	828				hypothetical protein
HDIIENPN_01647	CDS	1236				hypothetical protein
HDIIENPN_01648	CDS	261				hypothetical protein
HDIIENPN_01649	CDS	1302	licC_1		COG1455	Lichenan permease IIC component
HDIIENPN_01650	CDS	459	ptsG_1	2.7.1.199		PTS system glucose-specific EIICBA component
HDIIENPN_01651	CDS	1329	malH	3.2.1.122	COG1486	Maltose-6'-phosphate glucosidase MalH
HDIIENPN_01652	CDS	1413	gamP		COG2190	Putative PTS system glucosamine-specific EIICBA component
HDIIENPN_01653	CDS	765		3.5.1.-	COG3394	Carbohydrate deacetylase
HDIIENPN_01654	CDS	876	licT_3		COG3711	Transcription antiterminator LicT
HDIIENPN_01655	tRNA	87				tRNA-Leu(caa)
HDIIENPN_01656	tRNA	74				tRNA-Gln(ttg)
HDIIENPN_01657	tRNA	74				tRNA-His(gtg)
HDIIENPN_01658	tRNA	87				tRNA-Leu(caa)
HDIIENPN_01659	tRNA	71				tRNA-Cys(gca)
HDIIENPN_01660	tRNA	74				tRNA-Gln(ttg)
HDIIENPN_01661	tRNA	74				tRNA-His(gtg)
HDIIENPN_01662	tRNA	74				tRNA-Trp(cca)
HDIIENPN_01663	tRNA	83				tRNA-Tyr(gta)
HDIIENPN_01664	tRNA	76				tRNA-Phe(gaa)
HDIIENPN_01665	tRNA	76				tRNA-Asp(gtc)
HDIIENPN_01666	tRNA	75				tRNA-Val(tac)
HDIIENPN_01667	tRNA	74				tRNA-Glu(ttc)
HDIIENPN_01668	tRNA	92				tRNA-Ser(gga)
HDIIENPN_01669	tRNA	76				tRNA-Asn(gtt)
HDIIENPN_01670	rRNA	111				5S ribosomal RNA
HDIIENPN_01671	rRNA	2911				23S ribosomal RNA
HDIIENPN_01672	tRNA	73				tRNA-Ala(tgc)
HDIIENPN_01673	rRNA	1558				16S ribosomal RNA
HDIIENPN_01674	CDS	1506	sasA_2	2.7.-.-		Adaptive-response sensory-kinase SasA
HDIIENPN_01675	CDS	687	arlR_1		COG0745	Response regulator ArlR
HDIIENPN_01676	CDS	1422	gnd	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, decarboxylating
HDIIENPN_01677	CDS	180	rpmF_1			50S ribosomal protein L32
HDIIENPN_01678	CDS	570				hypothetical protein
HDIIENPN_01679	CDS	903	gltC_1			HTH-type transcriptional regulator GltC
HDIIENPN_01680	CDS	1785	pyk	2.7.1.40	COG0469	Pyruvate kinase
HDIIENPN_01681	CDS	963	pfkA	2.7.1.11		ATP-dependent 6-phosphofructokinase
HDIIENPN_01682	CDS	3315	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
HDIIENPN_01683	CDS	186				hypothetical protein
HDIIENPN_01684	CDS	1197	sbnD_2			Staphyloferrin B transporter
HDIIENPN_01685	CDS	1296				ISL3 family transposase ISEfa5
HDIIENPN_01686	CDS	1437	pbuO		COG2252	Guanine/hypoxanthine permease PbuO
HDIIENPN_01687	CDS	810	yitU	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
HDIIENPN_01688	CDS	1296				ISL3 family transposase IS1251
HDIIENPN_01689	CDS	2154	penA		COG0768	Penicillin-binding protein 2B
HDIIENPN_01690	CDS	849	ybbH_2		COG1737	putative HTH-type transcriptional regulator YbbH
HDIIENPN_01691	CDS	1941	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
HDIIENPN_01692	CDS	180		5.3.2.-		putative tautomerase
HDIIENPN_01693	CDS	1824	ziaA	7.2.2.12		Zinc-transporting ATPase
HDIIENPN_01694	CDS	2280	helD_1	3.6.4.12	COG3973	DNA helicase IV
HDIIENPN_01695	CDS	648				hypothetical protein
HDIIENPN_01696	CDS	1296				ISL3 family transposase ISEfa11
HDIIENPN_01697	CDS	720	yeeN		COG0217	putative transcriptional regulatory protein YeeN
HDIIENPN_01698	CDS	1152	tmcAL	6.3.4.-	COG1323	tRNA(Met) cytidine acetate ligase
HDIIENPN_01699	CDS	741	COQ5_2	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
HDIIENPN_01700	CDS	261	rsfS		COG0799	Ribosomal silencing factor RsfS
HDIIENPN_01701	CDS	594				hypothetical protein
HDIIENPN_01702	CDS	651	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
HDIIENPN_01703	CDS	312			COG1534	RNA-binding protein
HDIIENPN_01704	CDS	1110	yqeH		COG1161	putative protein YqeH
HDIIENPN_01705	CDS	528				hypothetical protein
HDIIENPN_01706	CDS	786	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
HDIIENPN_01707	CDS	870	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
HDIIENPN_01708	CDS	1380	cfiB	6.4.1.7	COG0439	2-oxoglutarate carboxylase small subunit
HDIIENPN_01709	CDS	420	fabZ_2	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
HDIIENPN_01710	CDS	477	accB			Biotin carboxyl carrier protein of acetyl-CoA carboxylase
HDIIENPN_01711	CDS	1236	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
HDIIENPN_01712	CDS	738	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
HDIIENPN_01713	CDS	918	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
HDIIENPN_01714	CDS	225	acpA		COG0236	Acyl carrier protein
HDIIENPN_01715	CDS	963	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
HDIIENPN_01716	CDS	441				hypothetical protein
HDIIENPN_01717	CDS	966	uvrC_2			UvrABC system protein C
HDIIENPN_01718	CDS	231	ykuJ		COG4703	putative protein YkuJ
HDIIENPN_01719	CDS	888	glxR	1.1.1.60	COG2084	2-hydroxy-3-oxopropionate reductase
HDIIENPN_01720	CDS	1224		2.4.1.337	COG0438	Alpha-monoglucosyldiacylglycerol synthase
HDIIENPN_01721	CDS	1047	dgs	2.4.1.208	COG0438	Processive diacylglycerol alpha-glucosyltransferase
HDIIENPN_01722	CDS	1728	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
HDIIENPN_01723	CDS	267	ptsH		COG1925	Phosphocarrier protein HPr
HDIIENPN_01724	CDS	2097	clpE		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpE
HDIIENPN_01725	CDS	321				hypothetical protein
HDIIENPN_01726	CDS	225				hypothetical protein
HDIIENPN_01727	CDS	1581	prfC			Peptide chain release factor 3
HDIIENPN_01728	CDS	1377				hypothetical protein
HDIIENPN_01729	CDS	1119	yhhT		COG0628	Putative transport protein YhhT
HDIIENPN_01730	CDS	435		2.3.1.-		Acetyltransferase
HDIIENPN_01731	CDS	534				hypothetical protein
HDIIENPN_01732	CDS	1179	mutY	3.2.2.31		Adenine DNA glycosylase
HDIIENPN_01733	CDS	798	recX			Regulatory protein RecX
HDIIENPN_01734	CDS	1383	rlmCD	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
HDIIENPN_01735	CDS	579		1.14.99.53	COG3397	Lytic chitin monooxygenase
HDIIENPN_01736	CDS	471	crtK-2		COG3476	Tryptophan-rich protein TspO
HDIIENPN_01737	CDS	1227	tagU_3	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
HDIIENPN_01738	CDS	201	cspD		COG1278	Cold shock protein CspD
HDIIENPN_01739	CDS	609	sodA	1.15.1.1		Superoxide dismutase [Mn]
HDIIENPN_01740	CDS	471				hypothetical protein
HDIIENPN_01741	CDS	900	czcD		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
HDIIENPN_01742	CDS	804				hypothetical protein
HDIIENPN_01743	CDS	948	ghrB_2	1.1.1.79	COG1052	Glyoxylate/hydroxypyruvate reductase B
HDIIENPN_01744	CDS	1548				IS66 family transposase ISRob1
HDIIENPN_01745	CDS	354				hypothetical protein
HDIIENPN_01746	CDS	195				hypothetical protein
HDIIENPN_01747	CDS	294				hypothetical protein
HDIIENPN_01748	CDS	666	ktrA		COG0569	Ktr system potassium uptake protein A
HDIIENPN_01749	CDS	633	vraR			Response regulator protein VraR
HDIIENPN_01750	CDS	1068	liaS	2.7.13.3	COG4585	Sensor histidine kinase LiaS
HDIIENPN_01751	CDS	732				hypothetical protein
HDIIENPN_01752	CDS	480	greA		COG0782	Transcription elongation factor GreA
HDIIENPN_01753	CDS	1176	mltG	4.2.2.-		Endolytic murein transglycosylase
HDIIENPN_01754	CDS	1161	pbpX_2		COG1680	Putative penicillin-binding protein PbpX
HDIIENPN_01755	CDS	1446				IS1182 family transposase ISEfa7
HDIIENPN_01756	CDS	948	wbgU_2	5.1.3.7		UDP-N-acetylglucosamine 4-epimerase
HDIIENPN_01757	CDS	1416				hypothetical protein
HDIIENPN_01758	CDS	1149	pglH_2	2.4.1.292	COG0438	GalNAc-alpha-(1->4)-GalNAc-alpha-(1->3)-diNAcBac-PP-undecaprenol alpha-1,4-N-acetyl-D-galactosaminyltransferase
HDIIENPN_01759	CDS	1536				hypothetical protein
HDIIENPN_01760	CDS	975	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
HDIIENPN_01761	CDS	966	arnC_2	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
HDIIENPN_01762	CDS	1068	rfbB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
HDIIENPN_01763	CDS	702	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
HDIIENPN_01764	CDS	876				hypothetical protein
HDIIENPN_01765	CDS	825	wbbD	2.4.1.303	COG0463	UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-galactosyltransferase
HDIIENPN_01766	CDS	1392				hypothetical protein
HDIIENPN_01767	CDS	960			COG2826	IS30 family transposase IS6770
HDIIENPN_01768	CDS	2139	arnC_3	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
HDIIENPN_01769	CDS	1587				hypothetical protein
HDIIENPN_01770	CDS	1221	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
HDIIENPN_01771	CDS	807	tagG		COG1682	Teichoic acid translocation permease protein TagG
HDIIENPN_01772	CDS	1281				hypothetical protein
HDIIENPN_01773	CDS	2034				hypothetical protein
HDIIENPN_01774	CDS	852	rmlD	1.1.1.133		dTDP-4-dehydrorhamnose reductase
HDIIENPN_01775	CDS	1029	rmlB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
HDIIENPN_01776	CDS	573	rfbC	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
HDIIENPN_01777	CDS	867	rfbA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 1
HDIIENPN_01778	CDS	708				hypothetical protein
HDIIENPN_01779	CDS	828				hypothetical protein
HDIIENPN_01780	CDS	801				hypothetical protein
HDIIENPN_01781	CDS	1140	tagO	2.7.8.33	COG0472	putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase
HDIIENPN_01782	CDS	924				hypothetical protein
HDIIENPN_01783	CDS	765	map	3.4.11.18	COG0024	Methionine aminopeptidase 1
HDIIENPN_01784	CDS	441				Flavodoxin
HDIIENPN_01785	CDS	570				hypothetical protein
HDIIENPN_01786	CDS	1233	pepS	3.4.11.-	COG2309	Aminopeptidase PepS
HDIIENPN_01787	CDS	303				hypothetical protein
HDIIENPN_01788	CDS	372				hypothetical protein
HDIIENPN_01789	CDS	402				hypothetical protein
HDIIENPN_01790	CDS	408				hypothetical protein
HDIIENPN_01791	CDS	495				IS3 family transposase ISEnfa3
HDIIENPN_01792	CDS	837				IS3 family transposase ISEfa8
HDIIENPN_01793	CDS	291				IS3 family transposase ISEfa8
HDIIENPN_01794	tRNA	74				tRNA-Met(cat)
HDIIENPN_01795	CDS	1026				hypothetical protein
HDIIENPN_01796	CDS	225				hypothetical protein
HDIIENPN_01797	CDS	294				hypothetical protein
HDIIENPN_01798	CDS	138				hypothetical protein
HDIIENPN_01799	CDS	447				hypothetical protein
HDIIENPN_01800	CDS	2067				hypothetical protein
HDIIENPN_01801	CDS	783				hypothetical protein
HDIIENPN_01802	CDS	1719				hypothetical protein
HDIIENPN_01803	CDS	2832				hypothetical protein
HDIIENPN_01804	CDS	789				hypothetical protein
HDIIENPN_01805	CDS	3120				hypothetical protein
HDIIENPN_01806	CDS	288				hypothetical protein
HDIIENPN_01807	CDS	369				hypothetical protein
HDIIENPN_01808	CDS	513				hypothetical protein
HDIIENPN_01809	CDS	393				hypothetical protein
HDIIENPN_01810	CDS	372				hypothetical protein
HDIIENPN_01811	CDS	327				hypothetical protein
HDIIENPN_01812	CDS	339				hypothetical protein
HDIIENPN_01813	CDS	207				hypothetical protein
HDIIENPN_01814	CDS	1008				hypothetical protein
HDIIENPN_01815	CDS	354				hypothetical protein
HDIIENPN_01816	CDS	642				hypothetical protein
HDIIENPN_01817	CDS	174				hypothetical protein
HDIIENPN_01818	CDS	954				hypothetical protein
HDIIENPN_01819	CDS	264				hypothetical protein
HDIIENPN_01820	CDS	231				hypothetical protein
HDIIENPN_01821	CDS	1635				hypothetical protein
HDIIENPN_01822	CDS	1302				hypothetical protein
HDIIENPN_01823	CDS	456				hypothetical protein
HDIIENPN_01824	CDS	225				hypothetical protein
HDIIENPN_01825	CDS	180				hypothetical protein
HDIIENPN_01826	CDS	414				hypothetical protein
HDIIENPN_01827	CDS	276				hypothetical protein
HDIIENPN_01828	CDS	153				hypothetical protein
HDIIENPN_01829	CDS	414				hypothetical protein
HDIIENPN_01830	CDS	297				hypothetical protein
HDIIENPN_01831	CDS	558				hypothetical protein
HDIIENPN_01832	CDS	396				hypothetical protein
HDIIENPN_01833	CDS	174				hypothetical protein
HDIIENPN_01834	CDS	312				hypothetical protein
HDIIENPN_01835	CDS	291				hypothetical protein
HDIIENPN_01836	CDS	312				hypothetical protein
HDIIENPN_01837	CDS	162				hypothetical protein
HDIIENPN_01838	CDS	303				hypothetical protein
HDIIENPN_01839	CDS	165				hypothetical protein
HDIIENPN_01840	CDS	270				hypothetical protein
HDIIENPN_01841	CDS	852				hypothetical protein
HDIIENPN_01842	CDS	516				hypothetical protein
HDIIENPN_01843	CDS	693				hypothetical protein
HDIIENPN_01844	CDS	672				hypothetical protein
HDIIENPN_01845	CDS	342				hypothetical protein
HDIIENPN_01846	CDS	147				hypothetical protein
HDIIENPN_01847	CDS	174				hypothetical protein
HDIIENPN_01848	CDS	189				hypothetical protein
HDIIENPN_01849	CDS	285				hypothetical protein
HDIIENPN_01850	CDS	300				hypothetical protein
HDIIENPN_01851	CDS	204				hypothetical protein
HDIIENPN_01852	CDS	747				hypothetical protein
HDIIENPN_01853	CDS	252				hypothetical protein
HDIIENPN_01854	CDS	156				hypothetical protein
HDIIENPN_01855	CDS	189				hypothetical protein
HDIIENPN_01856	CDS	159				hypothetical protein
HDIIENPN_01857	CDS	321				hypothetical protein
HDIIENPN_01858	CDS	423				hypothetical protein
HDIIENPN_01859	CDS	306				hypothetical protein
HDIIENPN_01860	CDS	1140	xerC_10			Tyrosine recombinase XerC
HDIIENPN_01861	CDS	1626	groL		COG0459	60 kDa chaperonin
HDIIENPN_01862	CDS	285	groS		COG0234	10 kDa chaperonin
HDIIENPN_01863	CDS	663	MroQ	3.4.22.-		Membrane-embedded CAAX protease MroQ
HDIIENPN_01864	CDS	1293	gmuC_2		COG1455	PTS system oligo-beta-mannoside-specific EIIC component
HDIIENPN_01865	CDS	630				hypothetical protein
HDIIENPN_01866	CDS	810	yycJ	3.-.-.-	COG1235	Putative metallo-hydrolase YycJ
HDIIENPN_01867	CDS	870				hypothetical protein
HDIIENPN_01868	CDS	1317				hypothetical protein
HDIIENPN_01869	CDS	1836	walK	2.7.13.3		Sensor histidine kinase WalK
HDIIENPN_01870	CDS	705	walR_1		COG0745	Transcriptional regulatory protein WalR
HDIIENPN_01871	CDS	861				DegV domain-containing protein
HDIIENPN_01872	CDS	570				hypothetical protein
HDIIENPN_01873	tRNA	73				tRNA-Lys(ctt)
HDIIENPN_01874	CDS	954			COG2826	IS30 family transposase IS1252
HDIIENPN_01875	CDS	147				hypothetical protein
HDIIENPN_01876	CDS	339				hypothetical protein
HDIIENPN_01877	CDS	198	pisA			Bacteriocin piscicolin-126
HDIIENPN_01878	CDS	1728				hypothetical protein
HDIIENPN_01879	CDS	1194	opuAA	7.6.2.9	COG4175	Glycine betaine transport ATP-binding protein OpuAA
HDIIENPN_01880	CDS	645				hypothetical protein
HDIIENPN_01881	CDS	135				hypothetical protein
HDIIENPN_01882	CDS	2133	feoB		COG0370	Fe(2+) transporter FeoB
HDIIENPN_01883	CDS	474				hypothetical protein
HDIIENPN_01884	CDS	225	nrdH		COG0695	Glutaredoxin-like protein NrdH
HDIIENPN_01885	CDS	2160	nrdE2	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase subunit alpha 2
HDIIENPN_01886	CDS	966	nrdF	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 2 subunit beta
HDIIENPN_01887	CDS	1140				hypothetical protein
HDIIENPN_01888	CDS	714	sapB		COG1285	Protein SapB
HDIIENPN_01889	CDS	702	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
HDIIENPN_01890	CDS	1533	ybiT_1		COG0488	putative ABC transporter ATP-binding protein YbiT
HDIIENPN_01891	CDS	909				IS982 family transposase ISEfm1
HDIIENPN_01892	CDS	1050				putative transporter
HDIIENPN_01893	CDS	690				hypothetical protein
HDIIENPN_01894	CDS	369	rplL		COG0222	50S ribosomal protein L7/L12
HDIIENPN_01895	CDS	504	rplJ			50S ribosomal protein L10
HDIIENPN_01896	CDS	690	rplA			50S ribosomal protein L1
HDIIENPN_01897	CDS	423	rplK			50S ribosomal protein L11
HDIIENPN_01898	CDS	669	sdhB	4.3.1.17		L-serine dehydratase, beta chain
HDIIENPN_01899	CDS	873	sdhA	4.3.1.17		L-serine dehydratase, alpha chain
HDIIENPN_01900	CDS	1020		1.13.12.4	COG1304	Lactate 2-monooxygenase
HDIIENPN_01901	CDS	888				hypothetical protein
HDIIENPN_01902	CDS	546	nusG			Transcription termination/antitermination protein NusG
HDIIENPN_01903	CDS	171	secE			Protein translocase subunit SecE
HDIIENPN_01904	CDS	153	rpmG3		COG0267	50S ribosomal protein L33 3
HDIIENPN_01905	CDS	645				hypothetical protein
HDIIENPN_01906	CDS	504	queT_1		COG4708	Queuosine precursor transporter QueT
HDIIENPN_01907	CDS	966	ytlR	2.7.1.-	COG1597	Putative lipid kinase YtlR
HDIIENPN_01908	CDS	1173				hypothetical protein
HDIIENPN_01909	CDS	1146				hypothetical protein
HDIIENPN_01910	CDS	933	lnrL	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
HDIIENPN_01911	CDS	1080				hypothetical protein
HDIIENPN_01912	CDS	630	lnrK		COG2197	Transcriptional regulatory protein LnrK
HDIIENPN_01913	CDS	228				hypothetical protein
HDIIENPN_01914	CDS	2589	recD2	3.6.4.12		ATP-dependent RecD-like DNA helicase
HDIIENPN_01915	CDS	660	pspA	3.1.3.3	COG0406	Phosphoserine phosphatase 1
